cve_id,crate_name,version_range,target_function_paths
RUSTSEC-2024-0433,age,">=0.7.0, <0.7.2",age::plugin::Identity::default_for_plugin
RUSTSEC-2024-0433,age,">=0.8.0, <0.8.2",age::plugin::Identity::default_for_plugin
RUSTSEC-2024-0433,age,">=0.9.0, <0.9.3",age::plugin::Identity::default_for_plugin
RUSTSEC-2024-0433,age,^0.10.0,age::plugin::Identity::default_for_plugin
RUSTSEC-2024-0433,age,^0.11.0,age::plugin::Identity::default_for_plugin
RUSTSEC-2024-0433,age,^0.6.0,age::plugin::Identity::from_str
RUSTSEC-2024-0433,age,">=0.7.0, <0.7.2",age::plugin::Identity::from_str
RUSTSEC-2024-0433,age,">=0.8.0, <0.8.2",age::plugin::Identity::from_str
RUSTSEC-2024-0433,age,">=0.9.0, <0.9.3",age::plugin::Identity::from_str
RUSTSEC-2024-0433,age,^0.10.0,age::plugin::Identity::from_str
RUSTSEC-2024-0433,age,^0.11.0,age::plugin::Identity::from_str
RUSTSEC-2024-0433,age,^0.6.0,age::plugin::IdentityPluginV1::new
RUSTSEC-2024-0433,age,">=0.7.0, <0.7.2",age::plugin::IdentityPluginV1::new
RUSTSEC-2024-0433,age,">=0.8.0, <0.8.2",age::plugin::IdentityPluginV1::new
RUSTSEC-2024-0433,age,">=0.9.0, <0.9.3",age::plugin::IdentityPluginV1::new
RUSTSEC-2024-0433,age,^0.10.0,age::plugin::IdentityPluginV1::new
RUSTSEC-2024-0433,age,^0.11.0,age::plugin::IdentityPluginV1::new
RUSTSEC-2024-0433,age,^0.6.0,age::plugin::Recipient::from_str
RUSTSEC-2024-0433,age,">=0.7.0, <0.7.2",age::plugin::Recipient::from_str
RUSTSEC-2024-0433,age,">=0.8.0, <0.8.2",age::plugin::Recipient::from_str
RUSTSEC-2024-0433,age,">=0.9.0, <0.9.3",age::plugin::Recipient::from_str
RUSTSEC-2024-0433,age,^0.10.0,age::plugin::Recipient::from_str
RUSTSEC-2024-0433,age,^0.11.0,age::plugin::Recipient::from_str
RUSTSEC-2024-0433,age,^0.6.0,age::plugin::RecipientPluginV1::new
RUSTSEC-2024-0433,age,">=0.7.0, <0.7.2",age::plugin::RecipientPluginV1::new
RUSTSEC-2024-0433,age,">=0.8.0, <0.8.2",age::plugin::RecipientPluginV1::new
RUSTSEC-2024-0433,age,">=0.9.0, <0.9.3",age::plugin::RecipientPluginV1::new
RUSTSEC-2024-0433,age,^0.10.0,age::plugin::RecipientPluginV1::new
RUSTSEC-2024-0433,age,^0.11.0,age::plugin::RecipientPluginV1::new
RUSTSEC-2019-0001,ammonia,<2.1.0,ammonia::clean
RUSTSEC-2022-0003,ammonia,<=3.1.2,ammonia::clean_text
RUSTSEC-2019-0001,ammonia,<2.1.0,ammonia::Document::to_string
RUSTSEC-2019-0001,ammonia,<2.1.0,ammonia::Document::write_to
RUSTSEC-2025-0039,anon-vec,<=0.1.1,anon_vec::AnonVec::get_mut
RUSTSEC-2025-0039,anon-vec,<=0.1.1,anon_vec::AnonVec::get_ref
RUSTSEC-2025-0039,anon-vec,<=0.1.1,anon_vec::AnonVec::remove_get
RUSTSEC-2024-0404,anstream,<0.6.8,anstream::adapter::strip_str
RUSTSEC-2020-0091,arc-swap,<1.1.0,arc_swap::access::MapGuard::deref
RUSTSEC-2021-0075,ark-r1cs-std,<0.3.0,ark_r1cs_std::FieldVar::mul_by_inverse
RUSTSEC-2020-0093,async-h1,<2.3.0,async_h1::server::accept
RUSTSEC-2020-0093,async-h1,<2.3.0,async_h1::server::decode
RUSTSEC-2021-0027,bam,<0.1.3,bam::bgzip::Block::load
RUSTSEC-2021-0077,better-macro,>1.0.0,better_macro::println
RUSTSEC-2020-0007,bitvec,"<0.17.4, >=0.11.0",bitvec::vec::BitVec::into_boxed_bitslice
RUSTSEC-2023-0083,blurhash,< 0.2.0,blurhash::decode
RUSTSEC-2020-0075,branca,<0.10.0,branca::Branca::decode
RUSTSEC-2020-0075,branca,<0.10.0,branca::decode
RUSTSEC-2022-0078,bumpalo,<3.11.1,bumpalo::collections::vec::Vec::into_iter
RUSTSEC-2023-0073,candid,">=0.9.0, <0.9.10",candid::Decode
RUSTSEC-2020-0164,cell-project,<0.1.4,cell_project::cell_project
RUSTSEC-2020-0164,cell-project,<0.1.4,cell_project::nightly_cell_project
RUSTSEC-2023-0068,cocoon,<=0.3.3,cocoon::Cocoon::dump
RUSTSEC-2023-0068,cocoon,<=0.3.3,cocoon::Cocoon::encrypt
RUSTSEC-2023-0068,cocoon,<=0.3.3,cocoon::Cocoon::wrap
RUSTSEC-2023-0068,cocoon,<=0.3.3,cocoon::MiniCocoon::dump
RUSTSEC-2023-0068,cocoon,<=0.3.3,cocoon::MiniCocoon::encrypt
RUSTSEC-2023-0068,cocoon,<=0.3.3,cocoon::MiniCocoon::wrap
RUSTSEC-2019-0015,compact_arena,<0.4.0,compact_arena::SmallArena::new
RUSTSEC-2024-0018,crayon,>=0.6.0,"crayon::utils::object_pool::ObjectPool<H,T>::free"
RUSTSEC-2021-0121,crypto2,* ,crypto2::streamcipher::Chacha20::decrypt_slice
RUSTSEC-2021-0121,crypto2,* ,crypto2::streamcipher::Chacha20::encrypt_slice
RUSTSEC-2021-0121,crypto2,* ,crypto2::streamcipher::xor_si512_inplace
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::multiple::RefMulti::key
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::multiple::RefMulti::pair
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::multiple::RefMulti::value
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::multiple::RefMutMulti::key
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::multiple::RefMutMulti::pair
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::multiple::RefMutMulti::pair_mut
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::one::Ref::key
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::one::Ref::pair
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::one::Ref::value
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::one::RefMut::key
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::one::RefMut::pair
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::mapref::one::RefMut::pair_mut
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::setref::multiple::RefMulti::key
RUSTSEC-2022-0002,dashmap,>=5.0.0,dashmap::setref::one::Ref::key
